      4 june	thursday
      4 jr	last
      4 jr	donor
      4 josh	brolin
      4 jonathan	l
      4 joe	nelson
      4 jerusalem	post
      4 jeffrey	c
      4 j	wise
      4 j	shapiro
      4 j	lavine
      4 its	own
      4 is	under
      4 is	that
      4 is	repped
      4 is	not
      4 is	asked
      4 is	already
      4 involving	the
      4 investigators	are
      4 investigation	into
      4 information	us
      4 increasing	crime
      4 in	whittier
      4 in	their
      4 in	that
      4 in	prison
      4 in	its
      4 in	her
      4 in	connection
      4 identified	as
      4 i	m
      4 i	have
      4 hotel	in
      4 hospital	with
      4 held	on
      4 heinke	last
      4 heinke	donor
      4 he	s
      4 he	felt
      4 hbo	documentary
      4 hate	crimes
      4 hand	to
      4 half	of
      4 h	clancy
      4 graphic	photo
      4 government	s
      4 gang	prosecution
      4 gang	activity
      4 from	staff
      4 from	his
      4 found	the
      4 found	shot
      4 found	in
      4 found	dead
      4 for	his
      4 film	pg
      4 extortion	kidnapping
      4 end	of
      4 elsevier	inc
      4 effort	to
      4 easy	to
      4 east	coast
      4 early	morning
      4 e	stein
      4 donor	william
      4 donor	susan
      4 donor	sheryl
      4 donor	scherzer
      4 donor	ryan
      4 donor	robert
      4 donor	ralph
      4 donor	latham
      4 donor	lacba
      4 donor	jonathan
      4 donor	jeffrey
      4 donor	eric
      4 donor	courtney
      4 donor	commr
      4 donor	brian
      4 donald	c
      4 dodger	stadium
      4 documents	pasadena
      4 document	type
      4 district	court
      4 dispensaries	that
      4 diaz	last
      4 diaz	donor
      4 desert	region
      4 deputy	district
      4 deputies	say
      4 department	the
      4 department	is
      4 dead	in
      4 david	r
      4 dark	heart
      4 dangerous	weapon
      4 daily	variety
      4 daehnke	last
      4 daehnke	donor
      4 d	levy
      4 crimes	were
      4 crimes	that
      4 crimes	investigators
      4 crimes	including
      4 crimemapping	com
      4 crime	to
      4 courtney	l
      4 county	district
      4 counts	of
      4 costa	mesa
      4 copyright	reed
      4 connection	with
      4 collins	last
      4 collins	donor
      4 collier	jr
      4 city	council
      4 chihuahua	attacks
      4 chance	to
      4 cell	phone
      4 can	t
      4 california	s
      4 california	april
      4 c	mitchell
      4 by	shooting
      4 by	police
      4 but	we
      4 business	information
      4 bureau	if
      4 bulger	was
      4 brief	man
      4 brf	man
      4 bowl	ring
      4 bill	bratton
      4 between	and
      4 before	and
      4 be	the
      4 be	made
      4 baker	last
      4 baker	donor
      4 back	to
      4 away	from
      4 avenue	in
      4 avenue	and
      4 authorities	say
      4 august	friday
      4 aug	in
      4 attempted	murder
      4 attacks	armed
      4 as	they
      4 arrested	were
      4 arrested	for
      4 arrest	made
      4 around	a
      4 armed	bandits
      4 are	the
      4 are	still
      4 antonio	villaraigosa
